Odom_X, Odom_Y, EKF_X, Odom_Y
-5.75359905236,5.56418877664,-5.7530814, 5.56368818
-5.04181360258,4.90605892134,-5.19068534, 5.04195617
-5.51633723576,4.84622893449,-5.45171563, 4.8881378
-4.98249814843,5.86333871087,-5.0820618, 5.66321048
-5.8129145065,5.80350872402,-5.65872086, 5.76717805
-5.63496814406,5.68384875033,-5.64016252, 5.70210372
-5.57565268991,5.08554888188,-5.58941903, 5.22071319
-4.86386724014,4.78639894765,-5.02123905, 4.88085334
-5.45702178162,5.44452880295,-5.35983955, 5.3238725
-5.51633723576,5.74367873718,-5.48185795, 5.65217869
-5.33839087332,5.14537886872,-5.36962067, 5.2559101
-5.21975996502,5.14537886872,-5.2520161, 5.16930641
-5.63496814406,5.32486882926,-5.551453, 5.29086182
-5.27907541917,5.74367873718,-5.33905207, 5.64466207
-5.63496814406,5.20520885557,-5.570239, 5.30112159
-4.86386724014,5.56418877664,-5.0174298, 5.50608261
-5.09758460052,5.02809678676,-5.07810961, 5.12722481
-5.62698315415,5.2099150455,-5.51046288, 5.1924219
-5.56775175253,5.2099150455,-5.55461844, 5.20550917
-5.26765141615,5.27183815411,-5.32890367, 5.25772035
-5.56358688897,4.9123946436,-5.51193907, 4.98751787
-5.85952236179,5.63128166462,-5.78422833, 5.49029296
-5.0309030379,5.03220914711,-5.19497021, 5.13111637
-5.44521269984,5.63128166462,-5.39083733, 5.52310543
-5.38602560528,5.81100341987,-5.38699498, 5.74896838
-5.0309030379,5.03220914711,-5.10648771, 5.18846266
-5.32683851072,5.15202365061,-5.27928204, 5.1602467
-4.85334175421,5.33174540586,-4.94620563, 5.29438106
-5.80033526722,4.7925801401,-5.61305047, 4.90235617
-5.32683851072,5.63128166462,-5.38911789, 5.47248149
-5.74114817266,5.75109616812,-5.66444135, 5.69158795
-5.20846432159,5.63128166462,-5.3081056, 5.6444015
-5.14927722703,5.15202365061,-5.18375019, 5.25891272
-4.85334175421,5.57137441287,-4.92394641, 5.50318725
-5.56358688897,5.93081792338,-5.42342541, 5.8370683
-5.32683851072,5.39165265761,-5.34833127, 5.48859552
-5.56358688897,4.97230189536,-5.51697112, 5.08405799
-5.56358688897,4.9123946436,-5.55360646, 4.94879766
-4.79415465964,5.69118891637,-4.95669622, 5.52832113
-4.91252884877,5.75109616812,-4.92246988, 5.7019524
-5.44521269984,4.9123946436,-5.33165201, 5.08390025
-5.09009013246,5.27183815411,-5.14329073, 5.23021202
-5.26765141615,4.97230189536,-5.24079389, 5.02802883
-5.80033526722,5.51146716112,-5.67957626, 5.40638916
-5.14927722703,5.21193090236,-5.26560492, 5.25450197
-5.50439979441,5.33174540586,-5.45202125, 5.31485681
-5.50439979441,5.81100341987,-5.49272468, 5.70317546
-5.14927722703,5.51146716112,-5.22322673, 5.5563404
-4.99578204614,5.48556371811,-5.03858774, 5.49530549
-5.60262895554,5.75638094222,-5.51680594, 5.68327844
-4.69374994204,5.13844396077,-4.80281332, 5.25483744
-5.69589985902,4.87882425319,-5.48983585, 4.94748717
-5.31226731009,5.20645157826,-5.33912266, 5.14485284
-5.27384081323,5.35604650305,-5.27667848, 5.31775471
-4.80581669331,5.24658483858,-4.89291024, 5.25811516
-5.10309292132,5.10621651617,-5.05302087, 5.12684047
-5.24563440404,5.39695959087,-5.20484204, 5.32848818
-5.36865485348,5.0875687614,-5.3382512, 5.13151696
-5.22011793025,4.72474654093,-5.24386848, 4.80242099
-4.75281899582,4.58916472429,-4.84634334, 4.62665728
-4.6792715072,4.7645982421,-4.70421613, 4.73486919
-4.53817197047,4.63014266211,-4.56447702, 4.65139335
-4.34697547821,5.15488356055,-4.38316918, 5.05529476
-4.10692159485,4.4737254674,-4.15412602, 4.59870193
-4.88863985254,4.50491368451,-4.71956493, 4.52261817
-4.44489264199,5.07548387654,-4.49442486, 4.95963612
-4.20814426374,5.21015616568,-4.26252075, 5.16145185
-4.47153906442,5.12941353586,-4.41897534, 5.14292547
-4.1387286565,4.94293436069,-4.19019983, 4.98987881
-4.39716519952,5.18109072188,-4.34429384, 5.14566345
-4.74753189081,5.20608463739,-4.65368499, 5.20121208
-4.75507046809,4.70746389113,-4.72544834, 4.8208587
-3.90466178865,4.99426513754,-4.07361794, 4.95990501
-3.96518963841,4.19110491758,-3.97637544, 4.3549156
-4.39839633894,4.78582434764,-4.29701883, 4.69158331
-4.35955665394,4.29902908623,-4.33719849, 4.38109388
-4.09089159825,4.42807019212,-4.13568235, 4.41534511
-4.37298105593,4.40357454492,-4.31256739, 4.40309287
-4.20419791393,4.75500469885,-4.21851001, 4.67760857
-3.89948429943,4.67848545648,-3.9596182, 4.67775533
-4.03872027704,4.60252933243,-4.01458372, 4.61794715
-4.34601421116,4.849977146,-4.26984852, 4.79935374
-4.21431681082,4.65201889514,-4.2242221, 4.6840363
-3.64362807602,4.65201889514,-3.76840332, 4.65872816
-3.51193067569,4.60252933243,-3.56622037, 4.61456791
-3.68752720947,3.95916501714,-3.65980513, 4.10259432
-4.12651854393,4.75099802057,-4.0247352, 4.6090024
